r,n,s,S,c
38847,17,10,16,35003
38895,18,7,17,649
38911,24,14,23,22187
38943,16,9,15,23393
38975,19,11,18,26339
39023,16,9,15,23441
39039,20,10,19,4397
39119,22,13,21,29741
39135,17,10,16,35263
39151,22,13,21,29765
39167,22,13,21,29777
39295,17,10,16,35407
39423,21,12,20,19981
39535,17,10,16,35623
39551,17,9,16,11879
39615,17,10,16,35695
39711,22,13,21,30191
39743,20,11,19,13429
39839,16,7,15,2659
39903,22,13,21,30337
39919,17,10,16,35969
39967,19,9,18,3001
40047,24,14,23,22835
40127,22,12,21,10169
40143,17,8,16,4019
40239,21,12,20,20395
40255,16,9,15,24181
40351,18,10,17,18179
40415,23,10,22,569
40447,23,12,22,5125
40479,22,13,21,30775
40495,20,10,19,4561
40687,17,10,16,36661
40767,20,11,19,13775
40831,16,9,15,24527
40943,19,10,18,9223
41023,19,10,18,9241
41087,20,11,19,13883
41167,16,8,15,8243
41183,19,10,18,9277
41199,18,9,17,6187
41439,21,11,20,7001
41455,21,12,20,21011
41519,20,11,19,14029
41855,17,9,16,12571
41887,19,11,18,28307
41967,19,11,18,28361
41983,23,13,22,15959
42015,19,11,18,28393
42031,21,8,20,263
42143,16,9,15,25315
42191,24,7,23,11
42239,17,10,16,38059
42303,17,10,16,38117
42367,19,11,18,28631
42447,17,9,16,12749
42479,16,9,15,25517
42495,22,12,21,10769
42911,17,10,16,38665
42975,16,8,15,8605
43055,16,8,15,8621
43071,17,10,16,38809
43215,17,10,16,38939
43247,22,13,21,32879
43263,22,13,21,32891
43375,16,6,15,965
43423,18,9,17,6521
43455,20,11,19,14683
43471,18,10,17,19585
43503,18,9,17,6533
43631,16,9,15,26209
43775,17,10,16,39443
43807,22,13,21,33305
43887,16,9,15,26363
43967,23,10,22,619
43999,17,8,16,4405
44015,22,13,21,33463
44063,19,11,18,29777
44079,17,7,16,1471
44143,17,10,16,39775
44223,17,10,16,39847
44239,18,10,17,19931
44319,17,6,16,493
44335,19,9,18,3329
44447,16,9,15,26699
44479,20,11,19,15029
44527,24,12,23,2821
44575,19,9,18,3347
44591,20,11,19,15067
44655,23,13,22,16975
44703,23,13,22,16993
44735,19,9,18,3359
44751,24,14,23,25517
44831,17,9,16,13465
44863,16,8,15,8983
44911,17,9,16,13489
44959,18,10,17,20255
45023,16,7,15,3005
45087,23,12,22,5713
45103,23,10,22,635
45183,16,8,15,9047
45279,16,9,15,27199
45295,24,13,23,8609
45311,17,9,16,13609
45359,17,10,16,40871
45471,23,13,22,17285
45503,20,10,19,5125
45535,17,10,16,41029
45551,21,12,20,23087
45567,21,12,20,23095
45599,17,10,16,41087
45615,20,11,19,15413
45679,17,10,16,41159
45759,19,11,18,30923
45775,16,9,15,27497
45823,22,13,21,34837
45855,16,9,15,27545
45887,18,8,17,2297
45951,24,14,23,26201
46015,22,11,21,3887
46047,20,11,19,15559
46127,17,10,16,41563
46271,23,12,22,5863
46303,22,13,21,35203
46335,16,9,15,27833
46383,21,12,20,23509
46463,17,9,16,13955
46495,24,13,23,8837
46543,22,12,21,11795
46591,22,12,21,11807
46623,23,13,22,17723
46799,20,9,19,1757
46831,16,8,15,9377
46911,16,7,15,3131
46975,19,11,18,31745
47039,21,9,20,883
47103,23,13,22,17905
47167,16,9,15,28333
47231,17,10,16,42557
47311,22,13,21,35969
47327,19,10,18,10661
47359,22,13,21,36005
47423,18,10,17,21365
47487,19,10,18,10697
47599,21,12,20,24125
47663,16,9,15,28631
47775,17,8,16,4783
47807,19,10,18,10769
47823,23,13,22,18179
48063,16,9,15,28871
48095,20,10,19,5417
48111,18,9,17,7225
48159,19,11,18,32545
48191,19,11,18,32567
48239,23,13,22,18337
48287,24,14,23,27533
48431,19,11,18,32729
48511,19,11,18,32783
48543,22,13,21,36905
48607,17,9,16,14599
48671,19,11,18,32891
48687,17,9,16,14623
48831,19,11,18,32999
48847,20,11,19,16505
48879,18,10,17,22021
48959,20,11,19,16543
49055,16,9,15,29467
49087,21,11,20,8293
49135,17,10,16,44273
49199,24,11,23,1039
49215,17,10,16,44345
49279,20,11,19,16651
49311,17,10,16,44431
49343,19,8,18,1235
49391,23,13,22,18775
49567,18,10,17,22331
49599,20,11,19,16759
49631,16,9,15,29813
49823,24,14,23,28409
49919,22,13,21,37951
49983,17,10,16,45037
50079,24,14,23,28555
50143,17,10,16,45181
50159,23,13,22,19067
50287,16,8,15,10069
50303,17,10,16,45325
50367,16,8,15,10085
50495,18,9,17,7583
50591,23,13,22,19231
50639,22,12,21,12833
50671,22,12,21,12841
50847,17,10,16,45815
50895,20,11,19,17197
51055,17,10,16,46003
51103,18,10,17,23023
51151,17,6,16,569
51231,17,8,16,5129
51263,22,12,21,12991
51311,19,11,18,34675
51391,17,7,16,1715
51407,21,9,20,965
